"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "SCSS", "PostCSS", "vue", "comment", "blank", "total"
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 51, 0, 0, 3, 11, 65
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_popover.scss", "SCSS", 0, 0, 0, 0, 0, 134, 0, 0, 5, 20, 159
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_progress.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 3, 7, 49
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_reboot.scss", "SCSS", 0, 0, 0, 0, 0, 334, 0, 0, 146, 142, 622
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_root.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 3, 3, 17
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_spinners.scss", "SCSS", 0, 0, 0, 0, 0, 49, 0, 0, 12, 9, 70
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_tables.scss", "SCSS", 0, 0, 0, 0, 0, 78, 0, 0, 43, 30, 151
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_toasts.scss", "SCSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_tooltip.scss", "SCSS", 0, 0, 0, 0, 0, 93, 0, 0, 5, 18, 116
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_transitions.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 2, 4, 22
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_type.scss", "SCSS", 0, 0, 0, 0, 0, 67, 0, 0, 16, 22, 105
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 551, 0, 0, 41, 3, 595
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 955, 0, 0, 231, 279, 1465
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap-grid.scss", "SCSS", 0, 0, 0, 0, 0, 50, 0, 0, 8, 8, 66
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap-reboot.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 8, 2, 16
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap-utilities.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 9, 4, 19
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 36, 0, 0, 12, 5, 53
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_floating-labels.scss", "SCSS", 0, 0, 0, 0, 0, 51, 0, 0, 4, 7, 62
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-check.scss", "SCSS", 0, 0, 0, 0, 0, 119, 0, 0, 9, 25, 153
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-control.scss", "SCSS", 0, 0, 0, 0, 0, 156, 0, 0, 33, 31, 220
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-range.scss", "SCSS", 0, 0, 0, 0, 0, 71, 0, 0, 7, 14, 92
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-select.scss", "SCSS", 0, 0, 0, 0, 0, 54, 0, 0, 6, 8, 68
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-text.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 3, 2, 12
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_input-group.scss", "SCSS", 0, 0, 0, 0, 0, 81, 0, 0, 21, 20, 122
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_labels.scss", "SCSS", 0, 0, 0, 0, 0, 27, 0, 0, 5, 5, 37
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_validation.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 8, 2, 13
